type	lat	lon	name	desc
T	45.345600000	9.314080000		
T	45.345350000	9.314370000		
T	45.345180000	9.314570000		
T	45.344900000	9.314910000		
T	45.344830000	9.315000000		
T	45.344470000	9.315460000		
T	45.344120000	9.315930000		
T	45.344000000	9.316090000		
T	45.343860000	9.316300000		
T	45.343680000	9.316550000		
T	45.343420000	9.316950000		
T	45.343260000	9.317190000		
T	45.343050000	9.317510000		
T	45.342770000	9.317980000		
T	45.342580000	9.318290000		
T	45.342490000	9.318460000		
T	45.342200000	9.318960000		
T	45.341890000	9.319530000		
T	45.341780000	9.319730000		
T	45.341620000	9.320050000		
T	45.341270000	9.320770000		
T	45.340900000	9.321600000		
T	45.340210000	9.323220000		
T	45.340070000	9.323590000		
T	45.340030000	9.323700000		
T	45.339810000	9.324310000		
T	45.339500000	9.325230000		
T	45.339250000	9.326040000		
T	45.339100000	9.326540000		
T	45.338920000	9.327300000		
T	45.338620000	9.328450000		
T	45.338530000	9.328810000		
T	45.338340000	9.329720000		
T	45.338210000	9.330410000		
T	45.338200000	9.330440000		
T	45.338150000	9.330780000		
T	45.338080000	9.331140000		
T	45.337880000	9.332150000		
T	45.337660000	9.333780000		
T	45.337380000	9.335730000		
T	45.337310000	9.336150000		
T	45.336950000	9.338480000		
T	45.336790000	9.339630000		
T	45.336590000	9.340990000		
T	45.335900000	9.345510000		
T	45.335760000	9.346410000		
T	45.335630000	9.347300000		
T	45.335490000	9.348230000		
T	45.335420000	9.348640000		
T	45.335360000	9.348950000		
T	45.335280000	9.349390000		
T	45.335190000	9.349860000		
T	45.334910000	9.351120000		
T	45.334870000	9.351260000		
T	45.334840000	9.351410000		
T	45.334620000	9.352270000		
T	45.334430000	9.352940000		
T	45.334290000	9.353420000		
T	45.334080000	9.354090000		
T	45.334040000	9.354210000		
T	45.333840000	9.354860000		
T	45.333590000	9.355610000		
T	45.333320000	9.356350000		
T	45.333250000	9.356510000		
T	45.332980000	9.357170000		
T	45.332510000	9.358230000		
T	45.332040000	9.359220000		
T	45.331630000	9.360030000		
T	45.331440000	9.360380000		
T	45.331200000	9.360820000		
T	45.330740000	9.361600000		
T	45.330330000	9.362260000		
T	45.329680000	9.363270000		
T	45.325200000	9.370160000		
T	45.324080000	9.371850000		
T	45.324030000	9.371930000		
T	45.323150000	9.373300000		
T	45.322740000	9.373920000		
T	45.319560000	9.378770000		
T	45.318530000	9.380370000		
T	45.318250000	9.380800000		
T	45.314960000	9.385830000		
T	45.314600000	9.386360000		
T	45.307040000	9.398000000		
T	45.305500000	9.400360000		
T	45.304700000	9.401560000		
T	45.304060000	9.402500000		
T	45.303330000	9.403560000		
T	45.302770000	9.404330000		
T	45.302250000	9.405060000		
T	45.301510000	9.406070000		
T	45.300290000	9.407750000		
T	45.300200000	9.407870000		
T	45.300120000	9.407980000		
T	45.299390000	9.409020000		
T	45.298000000	9.411050000		
T	45.296870000	9.412760000		
T	45.296330000	9.413630000		
T	45.296060000	9.414050000		
T	45.295490000	9.414970000		
T	45.294660000	9.416320000		
T	45.293530000	9.418260000		
T	45.292370000	9.420320000		
T	45.291840000	9.421260000		
T	45.291490000	9.421900000		
T	45.289340000	9.425730000		
T	45.288140000	9.427860000		
T	45.287370000	9.429220000		
T	45.286780000	9.430290000		
T	45.286700000	9.430430000		
T	45.286050000	9.431580000		
T	45.284460000	9.434270000		
T	45.283030000	9.436620000		
T	45.282120000	9.438130000		
T	45.281150000	9.439750000		
T	45.280940000	9.440100000		
